item,clase,coord
Q83870410,Q385994,Point(-58.527318 -34.57801)
Q83870416,Q385994,Point(-58.527318 -34.57801)
Q83872979,Q385994,Point(-58.526992 -34.577939)
Q83872982,Q385994,Point(-58.526752 -34.579688)
Q83873080,Q385994,Point(-58.535803 -34.572945)
Q83873116,Q385994,Point(-58.538906 -34.5834)
Q83873151,Q385994,Point(-58.538731 -34.577028)
Q84502009,Q33506,Point(-58.526163 -34.620794)
Q85866609,Q476028,Point(-58.532827664 -34.568914104)
Q93819488,Q16917,Point(-58.532835 -34.592967)
Q93824405,Q16917,Point(-58.536016 -34.583051)
Q93824713,Q16917,Point(-58.537514 -34.580575)
Q111584412,Q174782,Point(-58.522532231 -34.612537781)
Q111685553,Q174782,Point(-58.519625304 -34.620559231)
Q111685609,Q174782,Point(-58.528689408 -34.627921604)
Q111694394,Q331744,Point(-58.521671041 -34.61204016)
Q111707691,Q331744,Point(-58.519118 -34.619562)
Q111707692,Q241045,Point(-58.519118 -34.619562)
Q111707693,Q191851,Point(-58.519539 -34.619967)
Q111708357,Q331744,Point(-58.528366 -34.628141)
Q136207064,Q2022036,Point(-58.5373 -34.61156)
Q139806913,Q139806488,Point(-58.5249377 -34.5796638)
Q140131651,Q123705,Point(-58.526868 -34.620621)
Q140279625,Q9842,Point(-58.523538 -34.584878)
Q140279625,Q1080794,Point(-58.523538 -34.584878)
Q140279625,Q67388747,Point(-58.523538 -34.584878)
Q140280409,Q9842,Point(-58.532645 -34.626314)
Q140280409,Q1080794,Point(-58.532645 -34.626314)
Q140280409,Q67388747,Point(-58.532645 -34.626314)
Q140281182,Q9842,Point(-58.536587 -34.589326)
Q140281182,Q423208,Point(-58.536587 -34.589326)
Q140281182,Q67388747,Point(-58.536587 -34.589326)
Q140281185,Q9842,Point(-58.532412 -34.579946)
Q140281185,Q1080794,Point(-58.532412 -34.579946)
Q140281185,Q67388747,Point(-58.532412 -34.579946)
Q140281199,Q9842,Point(-58.537125 -34.577687)
Q140281199,Q1080794,Point(-58.537125 -34.577687)
Q140281199,Q67388747,Point(-58.537125 -34.577687)
Q140281738,Q9842,Point(-58.533594 -34.620464)
Q140281738,Q423208,Point(-58.533594 -34.620464)
Q140281738,Q67388747,Point(-58.533594 -34.620464)
Q140281739,Q9842,Point(-58.533274 -34.618792)
Q140281739,Q1080794,Point(-58.533274 -34.618792)
Q140281739,Q67388747,Point(-58.533274 -34.618792)
Q140281740,Q9842,Point(-58.536741 -34.620579)
Q140281740,Q1080794,Point(-58.536741 -34.620579)
Q140281740,Q67388747,Point(-58.536741 -34.620579)
Q140283937,Q9842,Point(-58.528109 -34.605091)
Q140283937,Q423208,Point(-58.528109 -34.605091)
Q140283937,Q67388747,Point(-58.528109 -34.605091)
Q140283938,Q9842,Point(-58.529195 -34.607424)
Q140283938,Q1080794,Point(-58.529195 -34.607424)
