avenida,largo_m,locales,por_100m,desde,hasta,barrio,x0,y0,x1,y1,avenida_l,desde_l,hasta_l,en_atlas
9 DE JULIO AV.,550,37,6.73,"SAENZ PEÑA, ROQUE, PRES. DIAGONAL NORTE AV.",CORDOBA AV.,SAN NICOLAS,5648491.662503275,6170060.567791603,5648461.204870434,6170604.579708685,Av. 9 de Julio,Av. Pres. Roque Sáenz Peña Diagonal Norte,Av. Córdoba,False
CONGRESO AV.,1150,37,3.22,ALVAREZ THOMAS AV.,AIZPURUA,VILLA URQUIZA,5638736.133707636,6174181.888098911,5637757.777813388,6173577.511330494,Av. Congreso,Av. Álvarez Thomas,Aizpurua,False
ACOYTE AV.,800,37,4.62,"ARAOZ ALFARO, GREGORIO, DR",DIAZ VELEZ AV.,CABALLITO,5643299.737068608,6168875.909203534,5643086.916608224,6169642.340566477,Av. Acoyte,Dr. Gregorio Aráoz Alfaro,Av. Díaz Vélez,False
ASAMBLEA AV.,650,36,5.54,CASTAÑARES AV.,FARADAY,PARQUE CHACABUCO,5643600.333560629,6166831.56443744,5642966.669177895,6166686.898886044,Av. Asamblea,Av. Castañares,Faraday,False
"NEWBERY, JORGE AV.",750,35,4.67,ALVAREZ THOMAS AV.,FOREST AV.,CHACARITA,5642347.373901238,6172662.520311446,5642144.906726202,6171940.365961068,Av. Jorge Newbery,Av. Álvarez Thomas,Av. Forest,True
"ALEM, LEANDRO N. AV.",650,35,5.38,SARMIENTO,CORDOBA AV.,SAN NICOLAS,5649506.9723869,6170046.851644127,5649434.885056811,6170691.489463215,Av. Leandro N. Alem,Sarmiento,Av. Córdoba,False
DE LOS CONSTITUYENTES AV.,1200,35,2.92,DE LOS INCAS AV.,OLAZABAL AV.,PARQUE CHAS,5639046.762516758,6171900.539112396,5638266.7252012715,6172806.74172363,Av. De los Constituyentes,Av. De los Incas,Av. Olazábal,False
JUJUY AV.,800,34,4.25,RIVADAVIA AV.,MEXICO,BALVANERA,5646209.912937008,6169470.208067055,5646368.526327134,6168687.73221132,Av. Jujuy,Av. Rivadavia,México,False
"GARAY, JUAN DE AV.",850,34,4.0,DEFENSA,AUTOPISTA 1 SUR PRESIDENTE ARTURO FRONDIZI,SAN TELMO,5649426.97140706,6167855.727714176,5648618.184118141,6167649.661124548,Av. Juan de Garay,Defensa,Autopista 1 Sur Presidente Arturo Frondizi,False
GARCIA DEL RIO AV.,800,34,4.25,CABILDO AV.,PINTO,SAAVEDRA,5640546.2375316955,6176438.879685585,5639782.4551269375,6176245.9619053,Av. García del Río,Av. Cabildo,Pinto,False
CARABOBO AV.,700,33,4.71,RIVADAVIA AV.,"BILBAO, FRANCISCO",FLORES,5641527.217157815,6167706.843148436,5641777.204667729,6167053.031358714,Av. Carabobo,Av. Rivadavia,Francisco Bilbao,False
"PUEYRREDON, HONORIO, DR. AV.",950,33,3.47,DIAZ VELEZ AV.,"ESCALADA DE SAN MARTIN, R.",CABALLITO,5642614.111622204,6169781.167657026,5642071.764095452,6170558.620334575,Av. Dr. Honorio Pueyrredón,Av. Díaz Vélez,R. Escalada de San Martín,False
"ALBERDI, JUAN BAUTISTA AV.",1000,32,3.2,BRUIX AV.,LARRAZABAL AV.,VILLA LURO,5638017.008152906,6165772.916270436,5637330.13254029,6165050.85520657,Av. Juan Bautista Alberdi,Av. Bruix,Av. Larrazábal,False
SANTA FE AV.,600,31,5.17,"CAMPOS, LUIS M. AV.",DORREGO AV.,PALERMO,5644125.597730187,6173148.881784905,5643582.3813419165,6173400.361290722,Av. Santa Fe,Av. Luis M. Campos,Av. Dorrego,False
CONGRESO AV.,1100,31,2.82,CABILDO AV.,SUPERI,BELGRANO,5641113.470527715,6175612.809400559,5640174.343589393,6175041.016780344,Av. Congreso,Av. Cabildo,Superi,False
MONROE AV.,500,31,6.2,"BALBIN, RICARDO, DR. AV.",MELIAN AV.,BELGRANO,5640701.1923937425,6174841.125018043,5640306.700585167,6174534.208912211,Av. Monroe,Av. Dr. Ricardo Balbín,Av. Melián,False
"GARCIA, MARTIN AV.",800,31,3.88,IRALA,"MONTES DE OCA, MANUEL AV.",SAN TELMO,5649502.681752728,6167369.6463494245,5648990.860713756,6166754.910931169,Av. Martín García,Irala,Av. Manuel Montes de Oca,False
CASTRO BARROS AV.,650,30,4.62,RIVADAVIA AV.,REPUBLICA BOLIVARIANA DE VENEZUELA,ALMAGRO,5644827.647251306,6169341.069323906,5644931.049182951,6168699.44711428,Av. Castro Barros,Av. Rivadavia,República Bolivariana de Venezuela,False
FOREST AV.,550,28,5.09,CORRIENTES AV.,FRAGA,CHACARITA,5642048.257514306,6172032.812851702,5641724.521235675,6172477.441171086,Av. Forest,Av. Corrientes,Fraga,False
"ALEM, LEANDRO N. AV.",650,27,4.15,SARMIENTO,CORDOBA AV.,SAN NICOLAS,5649521.964225702,6170098.220634676,5649435.198563169,6170740.596445862,Av. Leandro N. Alem,Sarmiento,Av. Córdoba,True
BOEDO AV.,900,27,3.0,PAVON AV.,CASEROS AV.,BOEDO,5645262.14518418,6167219.948764971,5645247.832725931,6166323.030887651,Av. Boedo,Av. Pavón,Av. Caseros,False
"BROWN, ALTE. AV.",600,27,4.5,"PEREZ GALDOS, BENITO AV.","ARAOZ DE LAMADRID, GREGORIO, GRAL.",BOCA,5650312.04504016,6166973.767069949,5650566.025031748,6166430.258754977,Av. Alte. Brown,Av. Benito Pérez Galdós,Gral. Gregorio Aráoz de Lamadrid,False
SEGUROLA AV.,500,27,5.4,"DIAZ, CESAR, GRAL.","GARCIA, JUAN AGUSTIN",FLORESTA,5638098.894160664,6167988.373203435,5637743.183354782,6168339.7559318915,Av. Segurola,Gral. César Díaz,Juan Agustín García,False
RIVADAVIA AV.,450,27,6.0,BARCO CENTENERA DEL,"MARTINEZ, VICTOR",CABALLITO,5642968.755577279,6168332.982884918,5642551.513979004,6168167.532687239,Av. Rivadavia,Barco Centenera del,Víctor Martínez,True
SAENZ AV.,500,26,5.2,"MORENO, PERITO AV.","RABANAL, FRANCISCO, INTENDENTE AV.",NUEVA POMPEYA,5645182.847061818,6165044.224801135,5645169.041417539,6164544.442390639,Av. Sáenz,Av. Perito Moreno,Av. Intendente Francisco Rabanal,True
