polo_id,locales,ha,locales_x_ha,barrio_principal,barrios,n_barrios,corroborados,grupo_dominante,peso_grupo_dominante,abiertos,hull_degenerado,puntos_en_envolvente,aptos_en_envolvente,share_aptos,control_aptitud,comuna,clase_densidad,pct_ya_publicado,zonas_que_contiene,es_nuevo,anada_relevamiento,anada_pct_dominante,anada_mixta,anadas,pct_puntos_del_relevamiento,rectangularidad,pct_perimetro_en_ejes,pct_perimetro_sobre_borde_barrio,vertices,barrio_k,cobertura_barrio,composicion_barrio,pasa_fuente,pasa_grilla,pasa_cobertura,pasa_cobertura_dos_colas,pruebas_que_pasa,locales_sin_rus,densidad_sin_rus,clase_sin_rus,dist_al_corte,cambio_de_clase
P002,68,63.365,1.073,Villa Soldati,Villa Soldati,1,5,GCBA_URBANISMO,0.368,33,False,82,82,1.0,True,8.0,C · concentración extendida,0.0,,True,2024,100.0,False,2024:68,36.8,0.459,19.3,0.0,18,VILLA SOLDATI,2.8,129.1,True,True,True,False,3,43,0.679,C · concentración extendida,0.657,False
P026,67,27.041,2.478,Parque Patricios,Parque Patricios;Constitucion;Barracas,4,11,GCBA_URBANISMO,0.403,27,False,62,60,0.968,True,4.0,C · concentración extendida,0.0,,True,2024,53.7,True,2024:36;2023:31,40.3,0.379,7.7,4.2,13,PARQUE PATRICIOS,2.3,180.1,True,True,False,False,2,40,1.479,C · concentración extendida,0.394,False
P079,66,5.691,11.597,Villa Crespo,Villa Crespo;Almagro;Caballito,3,15,GCBA_URBANISMO,0.409,34,False,56,56,1.0,True,15.0,A · concentración densa,12.6,,True,2023,100.0,False,2023:66,40.9,0.495,12.2,16.3,15,VILLA CRESPO,2.39,158.7,True,True,True,True,3,39,6.853,B · concentración media,0.584,True
P112,66,5.63,11.722,San Nicolas,San Nicolas;Recoleta;Retiro,3,19,GCBA_URBANISMO,0.409,32,False,56,56,1.0,True,1.0,A · concentración densa,73.3,,False,2024,100.0,False,2024:66,40.9,0.501,29.5,16.5,16,SAN NICOLAS,2.7,307.9,True,True,True,True,3,39,6.927,B · concentración media,0.607,True
P115,65,4.268,15.229,Retiro,Retiro,1,16,GCBA_URBANISMO,0.415,32,False,51,50,0.98,True,1.0,A · concentración densa,50.9,,False,2024,100.0,False,2024:65,41.5,0.491,0.0,6.2,15,RETIRO,2.91,257.8,True,True,True,False,3,38,8.903,B · concentración media,1.263,True
P066,65,18.019,3.607,Barracas,Barracas,1,14,GCBA_URBANISMO,0.462,23,False,68,66,0.971,True,4.0,C · concentración extendida,0.0,,True,2024,100.0,False,2024:65,46.2,0.385,0.0,0.0,12,BARRACAS,2.66,161.3,True,True,True,True,3,35,1.942,C · concentración extendida,0.183,False
P114,64,5.223,12.253,San Nicolas,San Nicolas,1,14,GCBA_URBANISMO,0.484,33,False,59,58,0.983,True,1.0,A · concentración densa,100.0,,False,2024,100.0,False,2024:64,48.4,0.582,37.7,0.0,10,SAN NICOLAS,2.7,307.9,True,True,True,True,3,33,6.318,B · concentración media,0.706,True
P014,64,45.629,1.403,Flores,Flores;Parque Avellaneda,2,13,GCBA_URBANISMO,0.438,31,False,72,71,0.986,True,7.0,C · concentración extendida,0.0,,True,2024,76.6,True,2024:49;2023:15,43.8,0.315,9.1,2.6,9,FLORES,2.29,144.2,True,True,False,False,2,36,0.789,C · concentración extendida,0.595,False
P072-2,63,7.108,8.863,Colegiales,Colegiales;Palermo,2,18,OVERTURE_FSQ_ATP,0.413,32,False,58,58,1.0,True,13.0,A · concentración densa,14.4,,True,2023,60.3,True,2023:38;2024:25,39.7,0.376,3.8,7.8,13,COLEGIALES,2.4,251.2,True,True,True,True,3,38,5.346,B · concentración media,0.072,True
P018-1,62,14.382,4.311,Villa Devoto,Villa Devoto,1,10,OVERTURE_FSQ_ATP,0.339,33,False,58,57,0.983,True,11.0,C · concentración extendida,100.0,,False,2022,100.0,False,2022:62,33.9,0.452,13.2,0.0,10,VILLA DEVOTO,2.45,184.0,True,True,True,True,3,41,2.851,C · concentración extendida,0.051,False
