polo_a,nombre_a,polo_b,nombre_b,local_id,barrio,comuna
R04,Puerto Madero,Z46,Retiro,LOC006821,Retiro,1.0
R04,Puerto Madero,Z46,Retiro,LOC009717,Retiro,1.0
R04,Puerto Madero,Z46,Retiro,LOC024717,Retiro,1.0
R04,Puerto Madero,Z46,Retiro,LOC016215,Retiro,1.0
R08,Villa Crespo,R19,Federico Lacroze,LOC001134,Chacarita,15.0
R08,Villa Crespo,R21,La Paternal,LOC007077,Villa Crespo,15.0
R08,Villa Crespo,R21,La Paternal,LOC018488,Villa Crespo,15.0
R08,Villa Crespo,R21,La Paternal,LOC018430,Villa Crespo,15.0
R08,Villa Crespo,R21,La Paternal,LOC002111,Villa Crespo,15.0
R08,Villa Crespo,R21,La Paternal,LOC018552,Villa Crespo,15.0
R08,Villa Crespo,R21,La Paternal,LOC018534,Villa Crespo,15.0
R08,Villa Crespo,R21,La Paternal,LOC018550,Villa Crespo,15.0
R08,Villa Crespo,R21,La Paternal,LOC018539,Villa Crespo,15.0
R08,Villa Crespo,R21,La Paternal,LOC008871,Caballito,6.0
R08,Villa Crespo,R21,La Paternal,LOC026723,Caballito,6.0
R08,Villa Crespo,R21,La Paternal,LOC009918,Caballito,6.0
