nro_registro,rubro,establecimiento,domicilio_completo,barrio,comuna,accesibilidad
RL-2018-29620772--DGCCO,Restaurante,PIZZA PIOLA,LIBERTAD 1078,RETIRO,1,
RPT-80-2005,Restaurante,PIZZA ROMA,LAVALLE 884,SAN NICOLÁS,1,
RL-2018-02445783- -DGCCO,Restaurante,PIZZERIA ANGELIN,AV. CÓRDOBA 5270,VILLA CRESPO,15,
RPT-139-2008,Restaurante,PORTO PIRATA,MARCELO T. DE ALVEAR 401,RETIRO,1,
RL-2019-15958764--DGTALET,Restaurante,POSADA DE VIRREYES,NAZARRE 6102,VILLA REAL,10,
RL-2018-28680151--DGCCO,Bar Temático,PRIDE CAFÉ,BALCARCE 369,SAN TELMO,1,
RPT-45-2005,Restaurante,PUERTO VIEJO,B. QUINQUELA MARTÍN 718,LA BOCA,4,
RL-2019-20958412-DGTALET,Restaurante,PULPERÍA QUILAPAN,DEFENSA 1344,SAN TELMO,1,
RL-2017-18849459- -DGCCO,Restaurante,RAÍCES COCINA CASERA CON HISTORIA,CRISÓLOGO LARRALDE 3995,SAAVEDRA,12,
RL-2017-24752167- -DGCCO,Gastronomia,RESTAURANTE EL PUENTECITO,VIEYTES 1895,BARRACAS,4,
RPT-70-2005,Restaurante,RESTAURANTE LEZAMA,BRASIL 359,SAN TELMO,1,
RPT-02-G-2015,Restaurante,RESTAURANTE PUERTO CRISTAL,ALICIA M. DE JUSTO 1082,PUERTO MADERO,1,
06-G-2011,Restaurante,RESTAURANTE VOLVER,AV. CORRIENTES 3190 1_PISO,BALVANERA,5,
RL-2018-33646960- -DGCCO,Bar Temático,SITGES,AV. CÓRDOBA 4119,PALERMO,14,
RPT-130-2005,Restaurante,SORRENTO RECOVA,POSADAS 1053,RETIRO,1,
11-G-2015,Tanguería,TANGO PORTEÑO,CERRITO 570,SAN NICOLÁS,1,
RL-2019-27633846--DGTALET,Bar Temático / Restaurante Temático,TEATRO CIEGO,JORGE LUIS BORGES 1974,PALERMO,14,
RL-2017-03299615- -DGDYCOF,Restaurante temático,THE ARGENTINE EXPERIENCE,FITZ ROY 2110,PALERMO,1,
RPT-131-2005,Bar Temático,THE KILKENNY,MARCELO T. DE ALVEAR 399,RETIRO,1,
RL-2019-15959064--DGTALET,Bar Temático,THOMPSON & CO,HONDURAS 5490,PALERMO,14,
RL-2017-26013286- -DGCCO,Bar Temático,VERNE CLUB,MEDRANO 1475,PALERMO,14,
RL-2018-02443539- -DGCCO,Restaurante,VIEJO MUNDO,AV. WARNES 2702,PATERNAL,15,
