polo_id,calles_dominantes_antes,calles_dominantes_despues,cambio,diff,metodo
P094,Salta (13); Mexico (4); Lima (4); Chile (3); Belgrano (3); Republica Bolivariana De Venezuela (3),Salta (13); Mexico (4); Lima (4); Chile (3); Belgrano (3); Republica Bolivariana De Venezuela (3),NO,SIN_CAMBIO,normalizar_calles + callejero_canonico + aliases declarados en el pedido
P070,Cabildo (12); San Isidro Labrador (4); Ramallo (3); Cuenca (1); Pico (1); Arias (1),Cabildo (12); San Isidro Labrador (4); Ramallo (3); Cuenca (1); Pico (1); Arias (1),NO,SIN_CAMBIO,normalizar_calles + callejero_canonico + aliases declarados en el pedido
P015,Asamblea (10); Barco Centenera (4); Avelino Diaz (2); Barco Del Centenera (2); Castanares (1); Del Barco Centenera (1),Asamblea (10); Del Barco Centenera (7); Avelino Diaz (2); Castanares (1); Emilio Mitre (1); Cachimayo (1),SI,ANTES: Asamblea (10); Barco Centenera (4); Avelino Diaz (2); Barco Del Centenera (2); Castanares (1); Del Barco Centenera (1) | DESPUES: Asamblea (10); Del Barco Centenera (7); Avelino Diaz (2); Castanares (1); Emilio Mitre (1); Cachimayo (1),normalizar_calles + callejero_canonico + aliases declarados en el pedido
P009,Directorio (13); Lacarra (4); Juan Bautista Alberdi (4); Olivera (4); Jose Bonifacio (2); Bolanos (1),Directorio (13); Lacarra (4); Juan Bautista Alberdi (4); Olivera (4); Jose Bonifacio (2); Bolanos (1),NO,SIN_CAMBIO,normalizar_calles + callejero_canonico + aliases declarados en el pedido
P067,Crisologo Larralde (10); 11 De Septiembre (4); Arribenos (3); Del Libertador (2); Nunez (2); Jaramillo (1),Crisologo Larralde (10); 11 De Septiembre (4); Arribenos (3); Del Libertador (2); Nunez (2); Jaramillo (1),NO,SIN_CAMBIO,normalizar_calles + callejero_canonico + aliases declarados en el pedido
P008,Vieytes (6); Iriarte (5); San Antonio (4); Hipolito Vieytes (3); California (1); Goncalves Dias (1),Vieytes (6); Iriarte (5); San Antonio (4); Hipolito Vieytes (3); California (1); Goncalves Dias (1),NO,SIN_CAMBIO,normalizar_calles + callejero_canonico + aliases declarados en el pedido
P006,De Los Corrales (15); Lisandro De La Torre (8); Cosquin (2); Cardenas (1); Guamini (1); Lisandro De La Torre Y Tandil\N (1),De Los Corrales (15); Lisandro De La Torre (8); Cosquin (2); Cardenas (1); Guamini (1); Lisandro De La Torre Y Tandil\N (1),NO,SIN_CAMBIO,normalizar_calles + callejero_canonico + aliases declarados en el pedido
P072-5,Cabildo (18); Virrey Del Pino (4); Jose Hernandez (2); Cespedes (1); Virrey Olaguer Y Feliu (1); Virrey Arredondo (1),Cabildo (18); Virrey Del Pino (4); Jose Hernandez (2); Cespedes (1); Virrey Olaguer Y Feliu (1); Virrey Arredondo (1),NO,SIN_CAMBIO,normalizar_calles + callejero_canonico + aliases declarados en el pedido
P059,Nazca (8); Rivadavia (6); San Pedrito (2); Yerbal (2); Venancio Flores (1); Bacacay (1),Nazca (8); Rivadavia (6); San Pedrito (2); Yerbal (2); Venancio Flores (1); Bacacay (1),NO,SIN_CAMBIO,normalizar_calles + callejero_canonico + aliases declarados en el pedido
P105,Aguero (6); French (3); Pueyrredon (3); Laprida (2); Juncal (2); Martiniano Chilavert (1),Aguero (6); French (3); Pueyrredon (3); Laprida (2); Juncal (2); Martiniano Chilavert (1),NO,SIN_CAMBIO,normalizar_calles + callejero_canonico + aliases declarados en el pedido
