polo_id,nombre_polo,soporte_clase,soporte_detalle,n_puntos,elongacion,ancho_p80_m,largo_p5_p95_m,motivo_na,frac_banda_50m,frac_banda_75m,frac_banda_100m,frac_banda_150m,frac_banda_200m,elongacion_rect,ha,forma_declarada,rama_calibracion,calibracion_contaminada
PGR_P025-2,P025-2 · Monte Castro,polo del borrador,polo P025-2 de borrador_polos_v3,38,1.0752267893483591,106.49161847518833,259.08929375654174,,0.47368421052631576,0.6578947368421053,0.7894736842105263,0.9736842105263158,1.0,1.3316533092833964,4.89,nucleo compacto,B,si
PGR_P058,P058 · Flores,polo del borrador,polo P058 de borrador_polos_v3,53,4.628871689187041,64.10432485303622,680.4171453120218,,0.5471698113207547,0.8867924528301887,1.0,1.0,1.0,3.887952747902559,11.39,corredor,B,si
PGR_P007,P007 · Belgrano,polo del borrador,polo P007 de borrador_polos_v3,40,2.3020696362937696,50.92049156389602,352.84180029057126,,0.8,0.875,0.95,0.975,1.0,1.16460351485039,8.96,corredor,B,si
PGR_P064,P064 · Palermo,polo del borrador,polo P064 de borrador_polos_v3,39,5.182509703051071,42.816029197593394,599.602805321404,,0.8205128205128205,0.9230769230769231,0.9743589743589743,1.0,1.0,3.726176529868346,9.12,corredor,B,si
PGR_P060,P060 · Flores,polo del borrador,polo P060 de borrador_polos_v3,36,1.7826150504786626,88.11748648238033,362.3207167105768,,0.4166666666666667,0.6666666666666666,0.9166666666666666,1.0,1.0,1.7238211488260453,5.85,nucleo compacto,B,si
PGR_P010,P010 · Floresta,polo del borrador,polo P010 de borrador_polos_v3,37,2.309285469297722,80.01218861797734,428.67747262569117,,0.6486486486486487,0.7027027027027027,0.9459459459459459,0.972972972972973,1.0,1.8040322553383419,10.63,corredor,B,si
PGR_P031,P031 · Floresta,polo del borrador,polo P031 de borrador_polos_v3,33,1.6788784936239982,139.11100100073472,493.9898662290774,,0.3333333333333333,0.36363636363636365,0.5454545454545454,0.8181818181818182,1.0,1.2325221158971889,7.58,nucleo compacto,B,si
PGR_P025-1,P025-1 · Monte Castro,polo del borrador,polo P025-1 de borrador_polos_v3,37,3.563844605059366,107.46985123162324,704.904170941619,,0.5675675675675675,0.7297297297297297,0.7567567567567568,1.0,1.0,3.0762891855084695,10.19,corredor,B,si
PGR_P013,P013 · Mataderos,polo del borrador,polo P013 de borrador_polos_v3,34,5.3300954551338044,42.191909082393614,653.276048852725,,0.8235294117647058,0.8529411764705882,0.9411764705882353,1.0,1.0,2.3621474710277144,10.79,corredor,B,si
PGR_P050,P050 · Caballito,polo del borrador,polo P050 de borrador_polos_v3,34,1.4815672826421629,77.27637869063585,261.9292537262624,,0.38235294117647056,0.7647058823529411,0.9705882352941176,1.0,1.0,1.6509440626380099,5.07,nucleo compacto,B,si
PGR_P069,P069 · Belgrano,polo del borrador,polo P069 de borrador_polos_v3,39,2.1788712971070767,83.35308779520636,419.6973116524265,,0.48717948717948717,0.6666666666666666,0.9487179487179487,1.0,1.0,2.1154012028381883,7.59,corredor,B,si
PGR_P011,P011 · Saavedra,polo del borrador,polo P011 de borrador_polos_v3,30,2.0316149151873,51.010328415918536,395.71508122807734,,0.7666666666666667,0.9333333333333333,0.9333333333333333,0.9666666666666667,1.0,1.6136627634402347,7.08,corredor,B,si
PGR_P019,P019 · Parque Patricios,polo del borrador,polo P019 de borrador_polos_v3,32,1.7055907663689371,160.41207888222934,534.2276815203875,,0.21875,0.40625,0.625,0.78125,0.90625,1.8791780687573134,20.78,nucleo compacto,B,si
PGR_P036,P036 · Flores,polo del borrador,polo P036 de borrador_polos_v3,33,7.088323757034703,55.47519503161766,795.9477795887437,,0.7575757575757576,0.9090909090909091,0.9696969696969697,1.0,1.0,4.44320008082318,9.86,corredor,B,si
PGR_P109,P109 · San Nicolas,polo del borrador,polo P109 de borrador_polos_v3,34,1.5173963992754125,63.23478937605672,249.65341937147065,,0.6470588235294118,0.8235294117647058,0.8823529411764706,1.0,1.0,1.2942810579119028,3.29,nucleo compacto,B,si
PGR_P055,P055 · Balvanera,polo del borrador,polo P055 de borrador_polos_v3,36,3.6591451146585645,55.84644262278431,542.6346223458597,,0.6666666666666666,0.9166666666666666,0.9722222222222222,1.0,1.0,2.5033235194174663,8.52,corredor,B,si
PGR_P034,P034 · Monte Castro,polo del borrador,polo P034 de borrador_polos_v3,36,4.850859625165799,37.795914970444,606.5795219544688,,0.8333333333333334,0.8888888888888888,0.9444444444444444,1.0,1.0,3.358285400841381,10.66,corredor,B,si
PGR_P072-3,P072-3 · Belgrano,polo del borrador,polo P072-3 de borrador_polos_v3,38,5.223442271428163,44.501984084561194,482.89191721084137,,0.868421052631579,1.0,1.0,1.0,1.0,5.086512422253281,5.08,corredor,B,si
