fuente,archivo_origen,id_registro_original,clave_habilitacion,nombre_original,rubro_original,descripcion_original,patron_detectado,categoria_panaderia,confianza_categoria,motivo_categoria,direccion_original,comuna_original,barrio_original,lat,lon,calidad_geo,fecha_habilitacion,observaciones
F01,f01_oferta_establecimientos_gastronomicos.csv,2812,,PIZZA KROSS,RESTAURANTE / PIZZERIA,CLASICO PORTEÑO,pizza_empanadas,pizzeria_empanadas,0.2,Fuera del alcance decidido: pizza_empanadas,TRIUNVIRATO AV. 5402,12,Villa Urquiza,-34.56932713,-58.49230345,f01_fuente,,
F01,f01_oferta_establecimientos_gastronomicos.csv,1277,,PIZZA LINIERS CAFE,RESTAURANTE / MINUTAS,MODERNO,pizza_empanadas,pizzeria_empanadas,0.2,Fuera del alcance decidido: pizza_empanadas,RIVADAVIA AV. 11576,9,Liniers,-34.6393338,-58.52741351,f01_fuente,,
F01,f01_oferta_establecimientos_gastronomicos.csv,2438,,PIZZA MASS,RESTAURANTE / TRADICIONAL,MODERNO,pizza_empanadas,pizzeria_empanadas,0.2,Fuera del alcance decidido: pizza_empanadas,SARMIENTO 1601,1,San Nicolas,-34.6054375,-58.3897753,f01_fuente,,
F01,f01_oferta_establecimientos_gastronomicos.csv,1117,,PIZZA NARANJA,RESTAURANTE,,pizza_empanadas,pizzeria_empanadas,0.2,Fuera del alcance decidido: pizza_empanadas,"IRIGOYEN, BERNARDO de 920",1,Constitucion,-34.61879105,-58.38018104,f01_fuente,,
F01,f01_oferta_establecimientos_gastronomicos.csv,2439,,PIZZA PACK,RESTAURANTE / INTERNACIONAL,,pizza_empanadas,pizzeria_empanadas,0.2,Fuera del alcance decidido: pizza_empanadas,LAVALLE 836,1,San Nicolas,-34.60245553,-58.37867668,f01_fuente,,
F01,f01_oferta_establecimientos_gastronomicos.csv,388,,PIZZA PET,RESTAURANTE / PIZZERIA,MEDITERRANEO,pizza_empanadas,pizzeria_empanadas,0.2,Fuera del alcance decidido: pizza_empanadas,SANTA FE AV. 5288,14,Palermo,-34.57578012,-58.43425913,f01_fuente,,
F01,f01_oferta_establecimientos_gastronomicos.csv,1050,,PIZZA- PIZZA,RESTAURANTE / PIZZERIA,ELEGANTE,pizza_empanadas,pizzeria_empanadas,0.2,Fuera del alcance decidido: pizza_empanadas,RIVADAVIA AV. 5033,6,Caballito,-34.61846439,-58.43702897,f01_fuente,,
F01,f01_oferta_establecimientos_gastronomicos.csv,390,,PIZZA PLAZA,RESTAURANTE / TRADICIONAL,CLASICO PORTEÑO,pizza_empanadas,pizzeria_empanadas,0.2,Fuera del alcance decidido: pizza_empanadas,LAS HERAS GENERAL AV. 3293,14,Palermo,-34.58309878,-58.40698343,f01_fuente,,
F01,f01_oferta_establecimientos_gastronomicos.csv,389,,PIZZA QUE?,RESTAURANTE / PIZZERIA,,pizza_empanadas,pizzeria_empanadas,0.2,Fuera del alcance decidido: pizza_empanadas,CHARCAS 4037,14,Palermo,-34.58582805,-58.42016418,f01_fuente,,
F01,f01_oferta_establecimientos_gastronomicos.csv,391,,PIZZA TRACY,RESTAURANTE / FAST FOOD,MODERNO,pizza_empanadas,pizzeria_empanadas,0.2,Fuera del alcance decidido: pizza_empanadas,"SALGUERO, JERONIMO 3172",14,Palermo,-34.57564556,-58.40411611,f01_fuente,,
F01,f01_oferta_establecimientos_gastronomicos.csv,1888,,PIZZA TRACY,RESTAURANTE / FAST FOOD,,pizza_empanadas,pizzeria_empanadas,0.2,Fuera del alcance decidido: pizza_empanadas,POSADAS 1245,1,Retiro,-34.58913708,-58.38425271,f01_fuente,,
F01,f01_oferta_establecimientos_gastronomicos.csv,2814,,PIZZA VIVA,RESTAURANTE / PIZZERIA,MODERNO,pizza_empanadas,pizzeria_empanadas,0.2,Fuera del alcance decidido: pizza_empanadas,OLAZABAL AV. 5213,12,Villa Urquiza,-34.57717982,-58.48723126,f01_fuente,,
F01,f01_oferta_establecimientos_gastronomicos.csv,1190,,PIZZA Y BIRRA,RESTAURANTE / PIZZERIA,CLASICO PORTEÑO,pizza_empanadas,pizzeria_empanadas,0.2,Fuera del alcance decidido: pizza_empanadas,RIVADAVIA AV. 7402,7,Flores,-34.63083765,-58.46971909,f01_fuente,,
F01,f01_oferta_establecimientos_gastronomicos.csv,1051,,PIZZA Y CAFE EL QUIJOTE,RESTAURANTE / PIZZERIA,ELEGANTE,pizza_empanadas,pizzeria_empanadas,0.2,Fuera del alcance decidido: pizza_empanadas,"GOYENA, PEDRO AV. 736",6,Caballito,-34.62623508,-58.43825445,f01_fuente,,
F01,f01_oferta_establecimientos_gastronomicos.csv,1191,,PIZZA Y CAFE UNO,RESTAURANTE / MINUTAS,CLASICO PORTEÑO,pizza_empanadas,pizzeria_empanadas,0.2,Fuera del alcance decidido: pizza_empanadas,RIVADAVIA AV. 6784,7,Flores,-34.62839456,-58.46087825,f01_fuente,,
