direccion,patron,anio_habilitacion,clave_habilitacion,partida_matriz,archivo_origen,comuna,misma_partida
CORDOBA AV. 4451,elaboracion_panaderia_venta_directa,2021,432580,421082,f02_habilitaciones_aprobadas_2021.csv,14,si
CORRIENTES AV. 2308,elaboracion_panaderia_venta_directa,2015,235845/9,206471,f02_habilitaciones_aprobadas_2015_2018.csv,3,si
CORRIENTES AV. 2308,elaboracion_panaderia_venta_directa,2017,344081/9,206471,f02_habilitaciones_aprobadas_2015_2018.csv,3,si
CORRIENTES AV. 3783,elaboracion_panaderia_venta_directa,2018,366625,192790,f02_habilitaciones_aprobadas_2015_2018.csv,5,si
CORRIENTES AV. 3783,elaboracion_panaderia_venta_directa,2021,427940,192790,f02_habilitaciones_aprobadas_2021.csv,5,si
CORRIENTES AV. 5815,elaboracion_panaderia_venta_directa,2016,301124/1,423599,f02_habilitaciones_aprobadas_2015_2018.csv,15,si
CORRIENTES AV. 5815,elaboracion_panaderia_venta_directa,2017,307272/1,423599,f02_habilitaciones_aprobadas_2015_2018.csv,15,si
CUBA 4181,elaboracion_panaderia_venta_directa,2019,342124,340003,f02_habilitaciones_aprobadas_2019.csv,13,si
CUBA 4181,elaboracion_panaderia_venta_directa,2022,448771,340003,f02_habilitaciones_aprobadas_2022.csv,13,si
CURAPALIGUE 443,despacho_de_pan,2015,236372/3,148856,f02_habilitaciones_aprobadas_2015_2018.csv,7,si
CURAPALIGUE 443,despacho_de_pan,2016,303975/3,148856,f02_habilitaciones_aprobadas_2015_2018.csv,7,si
DEL LIBERTADOR AV. 5899,elaboracion_panaderia_venta_directa,2017,354123/2,341497,f02_habilitaciones_aprobadas_2015_2018.csv,13,si
DEL LIBERTADOR AV. 5899,elaboracion_panaderia_venta_directa,2021,423208/2,341497,f02_habilitaciones_aprobadas_2021.csv,13,si
